BIRTH_YEAR,COUNTY_NAME,POP,HPV1_RATE,HPVCOMP_RATE,MENACWY1_RATE,TDAP_RATE,ADOLSERIES_RATE
2010,CHISAGO,825,58.3,45.8,83.9,84.4,45.5
2010,SIBLEY,210,60,46.2,74.3,77.1,44.8
2010,MAHNOMEN,107,69.2,52.3,85,88.8,52.3
2011,COTTONWOOD,201,53.2,39.3,75.1,78.1,39.3
2011,MAHNOMEN,84,64.3,23.8,83.3,85.7,23.8
2011,MARTIN,260,48.1,34.2,68.1,74.6,33.8
2011,BROWN,378,60.1,44.4,77.8,79.1,43.7
2012,DOUGLAS,472,55.5,36.4,77.3,79,36.2
2012,PENNINGTON,218,45.4,23.4,73.9,75.2,23.4
2012,REDWOOD,215,55.3,30.7,78.1,79.5,30.7
2012,FARIBAULT,218,62.8,40.4,78.4,79.4,40.4
2011,RAMSEY,8447,64.6,49.4,73.7,74.6,48.8
2012,BECKER,566,50.7,33.9,68.7,70.7,32.9
2012,ANOKA,5595,62.1,44.6,78.7,80.1,44.2
2012,MCLEOD,483,59,37.5,79.1,79.5,36.4
2010,BROWN,338,67.8,56.2,83.1,82.8,55
2010,POPE,161,59.6,42.2,82.6,82.6,41
2010,ROSEAU,258,33.7,23.6,74.8,76.4,23.6
2010,WABASHA,286,71.7,60.5,81.1,82.5,60.1
2011,ISANTI,591,56.9,38.4,78,79.9,38.4
2011,SCOTT,2701,62.3,48.4,75.3,76.8,48.1
2011,ITASCA,607,56.2,38.7,77.9,79.7,38.2
2011,SHERBURNE,1598,60.8,45.9,80.1,81.2,45.6
2011,POPE,155,57.4,39.4,82.6,83.2,39.4
2011,COOK,73,47.9,41.1,61.6,71.2,41.1
2012,MOWER,703,61.2,46.4,73.1,72.8,45.1
2012,CARLTON,457,67.8,48.4,81,81.6,48.1
2012,POPE,145,59.3,34.5,84.8,86.9,33.8
2012,YELLOW MEDICINE,154,57.8,37.7,72.7,74,37.7
2010,ANOKA,5762,68.6,56,81.8,82.6,55
2011,DAKOTA,7049,62.9,50,75.3,76.8,49.5
2010,PENNINGTON,183,56.3,41.5,78.1,79.8,41.5
2010,ISANTI,651,60.5,48.1,81.7,83.9,47.8
2010,DODGE,372,72.3,61.3,85.8,87.6,61
2010,GRANT,77,66.2,48.1,83.1,87,48.1
2010,STEVENS,158,58.9,49.4,75.9,77.8,49.4
2010,LAKE OF THE WOODS,34,32.4,26.5,70.6,70.6,26.5
2011,KANABEC,199,56.3,38.7,78.9,82.4,38.2
2011,ROCK,147,53.1,35.4,57.8,61.9,34
2011,POLK,535,44.9,29,68.2,69.7,28.4
2011,LAKE OF THE WOODS,54,33.3,22.2,74.1,75.9,22.2
2012,OLMSTED,2799,59.3,46.9,67.1,68.6,46
2012,NOBLES,428,43,23.1,68.9,71.3,23.1
2012,NICOLLET,505,61.2,40.8,80.2,80.2,40
2012,CLEARWATER,105,36.2,25.7,62.9,72.4,25.7
2012,BIG STONE,64,50,28.1,73.4,82.8,28.1
2011,NO ADDRESS ,4,25,0,50,50,0
2010,OLMSTED,2847,65.2,55.3,71.3,72.4,54.2
2010,SHERBURNE,1556,64.2,51,82.2,83.4,50.8
2010,FREEBORN,457,65.6,51.4,76.8,79.2,51.2
2011,MOWER,722,63.7,50,74.5,75.2,49.3
2010,MCLEOD,500,67.6,54.4,85.6,86.8,54.4
2010,WATONWAN,180,65.6,49.4,85,84.4,47.8
2010,KANDIYOHI,721,60.2,50.1,79.9,82.4,49.8
2010,ITASCA,574,56.6,44.1,81,82.9,43.6
2010,LINCOLN,75,61.3,50.7,81.3,78.7,50.7
2010,BIG STONE,70,60,48.6,78.6,81.4,48.6
