Row, County ,Year,REGION,Age,Vaccine,Percent
1,Adams,2014,Southern,19–26 years old,HPV Complete,15.9%
2,Adams,2015,Southern,19–26 years old,HPV Complete,17.5%
3,Adams,2016,Southern,19–26 years old,HPV Complete,19.8%
4,Adams,2017,Southern,19–26 years old,HPV Complete,22.1%
5,Adams,2018,Southern,19–26 years old,HPV Complete,25.0%
6,Adams,2018,Southern,50 years and older,Zoster (Shingles) Complete,0.8%
7,Adams,2019,Southern,19–26 years old,HPV Complete,27.7%
8,Adams,2019,Southern,19–49 years old,HepA Complete,5.9%
9,Adams,2019,Southern,50 years and older,Zoster (Shingles) Complete,4.1%
10,Adams,2020,Southern,19–26 years old,HPV Complete,28.7%
11,Adams,2020,Southern,19–49 years old,HepA Complete,6.9%
12,Adams,2020,Southern,50 years and older,Zoster (Shingles) Complete,10.1%
13,Adams,2021,Southern,19–26 years old,HPV Complete,30.3%
14,Adams,2021,Southern,19–49 years old,HepA Complete,8.2%
15,Adams,2021,Southern,50 years and older,Zoster (Shingles) Complete,15.1%
16,Adams,2022,Southern,19–26 years old,HPV Complete,33.7%
17,Adams,2022,Southern,19–49 years old,HepA Complete,8.8%
18,Adams,2022,Southern,19–59 years old,HepB (1),44.4%
19,Adams,2022,Southern,19–59 years old,HepB Complete,38.1%
20,Adams,2022,Southern,50 years and older,Zoster (Shingles) Complete,19.4%
21,Adams,2023,Southern,19–26 years old,HPV Complete,41.6%
22,Adams,2023,Southern,19–49 years old,HepA Complete,12.3%
23,Adams,2023,Southern,19–59 years old,HepB (1),47.8%
24,Adams,2023,Southern,19–59 years old,HepB Complete,41.6%
25,Adams,2023,Southern,19–64 years old,Td or Tdap,61.3%
26,Adams,2023,Southern,19–64 years old,Tdap,51.7%
27,Adams,2023,Southern,50 years and older,Zoster (Shingles) Complete,25.7%
28,Adams,2024,Southern,19–26 years old,HPV Complete,45.6%
29,Adams,2024,Southern,19–49 years old,HepA Complete,14.6%
30,Adams,2024,Southern,19–59 years old,HepB (1),50.0%
31,Adams,2024,Southern,19–59 years old,HepB Complete,43.6%
32,Adams,2024,Southern,19–64 years old,Td or Tdap,61.3%
33,Adams,2024,Southern,19–64 years old,Tdap,51.5%
34,Adams,2024,Southern,50 years and older,Zoster (Shingles) Complete,31.2%
35,Adams,2025,Southern,19–26 years old,HPV Complete,49.4%
36,Adams,2025,Southern,19–49 years old,HepA Complete,16.8%
37,Adams,2025,Southern,19–59 years old,HepB (1),52.4%
38,Adams,2025,Southern,19–59 years old,HepB Complete,46.0%
39,Adams,2025,Southern,19–64 years old,Td or Tdap,61.2%
40,Adams,2025,Southern,19–64 years old,Tdap,51.5%
41,Adams,2025,Southern,50 years and older,Pneumo Complete,49.3%
42,Adams,2025,Southern,50 years and older,Zoster (Shingles) Complete,34.2%
43,Ashland,2014,Northern,19–26 years old,HPV Complete,16.3%
44,Ashland,2015,Northern,19–26 years old,HPV Complete,17.4%
45,Ashland,2016,Northern,19–26 years old,HPV Complete,20.0%
46,Ashland,2017,Northern,19–26 years old,HPV Complete,23.6%
47,Ashland,2018,Northern,19–26 years old,HPV Complete,27.5%
48,Ashland,2018,Northern,50 years and older,Zoster (Shingles) Complete,1.1%
49,Ashland,2019,Northern,19–26 years old,HPV Complete,30.6%
50,Ashland,2019,Northern,19–49 years old,HepA Complete,6.5%
51,Ashland,2019,Northern,50 years and older,Zoster (Shingles) Complete,4.6%
52,Ashland,2020,Northern,19–26 years old,HPV Complete,31.8%
53,Ashland,2020,Northern,19–49 years old,HepA Complete,7.9%
54,Ashland,2020,Northern,50 years and older,Zoster (Shingles) Complete,9.2%
55,Ashland,2021,Northern,19–26 years old,HPV Complete,34.5%
56,Ashland,2021,Northern,19–49 years old,HepA Complete,8.9%
57,Ashland,2021,Northern,50 years and older,Zoster (Shingles) Complete,14.1%
58,Ashland,2022,Northern,19–26 years old,HPV Complete,37.3%
59,Ashland,2022,Northern,19–49 years old,HepA Complete,9.2%
60,Ashland,2022,Northern,19–59 years old,HepB (1),41.0%
61,Ashland,2022,Northern,19–59 years old,HepB Complete,35.9%
62,Ashland,2022,Northern,50 years and older,Zoster (Shingles) Complete,18.1%
63,Ashland,2023,Northern,19–26 years old,HPV Complete,43.3%
64,Ashland,2023,Northern,19–49 years old,HepA Complete,13.6%
65,Ashland,2023,Northern,19–59 years old,HepB (1),51.7%
66,Ashland,2023,Northern,19–59 years old,HepB Complete,46.1%
67,Ashland,2023,Northern,19–64 years old,Td or Tdap,54.1%
68,Ashland,2023,Northern,19–64 years old,Tdap,48.3%
69,Ashland,2023,Northern,50 years and older,Zoster (Shingles) Complete,27.1%
70,Ashland,2024,Northern,19–26 years old,HPV Complete,45.6%
71,Ashland,2024,Northern,19–49 years old,HepA Complete,15.5%
72,Ashland,2024,Northern,19–59 years old,HepB (1),53.5%
73,Ashland,2024,Northern,19–59 years old,HepB Complete,47.8%
74,Ashland,2024,Northern,19–64 years old,Td or Tdap,54.4%
75,Ashland,2024,Northern,19–64 years old,Tdap,47.9%
76,Ashland,2024,Northern,50 years and older,Zoster (Shingles) Complete,30.6%
77,Ashland,2025,Northern,19–26 years old,HPV Complete,48.1%
78,Ashland,2025,Northern,19–49 years old,HepA Complete,17.6%
79,Ashland,2025,Northern,19–59 years old,HepB (1),55.4%
80,Ashland,2025,Northern,19–59 years old,HepB Complete,49.4%
81,Ashland,2025,Northern,19–64 years old,Td or Tdap,54.7%
82,Ashland,2025,Northern,19–64 years old,Tdap,48.1%
83,Ashland,2025,Northern,50 years and older,Pneumo Complete,43.1%
84,Ashland,2025,Northern,50 years and older,Zoster (Shingles) Complete,34.2%
85,Barron,2014,Western,19–26 years old,HPV Complete,20.4%
86,Barron,2015,Western,19–26 years old,HPV Complete,22.0%
87,Barron,2016,Western,19–26 years old,HPV Complete,24.0%
88,Barron,2017,Western,19–26 years old,HPV Complete,24.4%
89,Barron,2018,Western,19–26 years old,HPV Complete,29.7%
90,Barron,2018,Western,50 years and older,Zoster (Shingles) Complete,1.1%
91,Barron,2019,Western,19–26 years old,HPV Complete,33.3%
92,Barron,2019,Western,19–49 years old,HepA Complete,4.9%
93,Barron,2019,Western,50 years and older,Zoster (Shingles) Complete,3.8%
94,Barron,2020,Western,19–26 years old,HPV Complete,34.6%
95,Barron,2020,Western,19–49 years old,HepA Complete,5.5%
96,Barron,2020,Western,50 years and older,Zoster (Shingles) Complete,9.5%
97,Barron,2021,Western,19–26 years old,HPV Complete,36.3%
98,Barron,2021,Western,19–49 years old,HepA Complete,6.0%
99,Barron,2021,Western,50 years and older,Zoster (Shingles) Complete,15.9%
100,Barron,2022,Western,19–26 years old,HPV Complete,38.1%
101,Barron,2022,Western,19–49 years old,HepA Complete,6.1%
102,Barron,2022,Western,19–59 years old,HepB (1),53.5%
103,Barron,2022,Western,19–59 years old,HepB Complete,48.0%
104,Barron,2022,Western,50 years and older,Zoster (Shingles) Complete,19.9%
105,Barron,2023,Western,19–26 years old,HPV Complete,45.0%
106,Barron,2023,Western,19–49 years old,HepA Complete,9.2%
107,Barron,2023,Western,19–59 years old,HepB (1),56.6%
108,Barron,2023,Western,19–59 years old,HepB Complete,51.5%
109,Barron,2023,Western,19–64 years old,Td or Tdap,62.5%
110,Barron,2023,Western,19–64 years old,Tdap,52.1%
111,Barron,2023,Western,50 years and older,Zoster (Shingles) Complete,24.9%
112,Barron,2024,Western,19–26 years old,HPV Complete,47.4%
113,Barron,2024,Western,19–49 years old,HepA Complete,11.5%
114,Barron,2024,Western,19–59 years old,HepB (1),58.1%
115,Barron,2024,Western,19–59 years old,HepB Complete,53.1%
116,Barron,2024,Western,19–64 years old,Td or Tdap,61.7%
117,Barron,2024,Western,19–64 years old,Tdap,51.2%
118,Barron,2024,Western,50 years and older,Zoster (Shingles) Complete,28.0%
119,Barron,2025,Western,19–26 years old,HPV Complete,50.2%
120,Barron,2025,Western,19–49 years old,HepA Complete,14.0%
121,Barron,2025,Western,19–59 years old,HepB (1),59.9%
122,Barron,2025,Western,19–59 years old,HepB Complete,54.9%
123,Barron,2025,Western,19–64 years old,Td or Tdap,61.1%
124,Barron,2025,Western,19–64 years old,Tdap,51.0%
125,Barron,2025,Western,50 years and older,Pneumo Complete,45.7%
126,Barron,2025,Western,50 years and older,Zoster (Shingles) Complete,32.1%
127,Bayfield,2014,Northern,19–26 years old,HPV Complete,19.2%
128,Bayfield,2015,Northern,19–26 years old,HPV Complete,21.7%
129,Bayfield,2016,Northern,19–26 years old,HPV Complete,24.8%
130,Bayfield,2017,Northern,19–26 years old,HPV Complete,29.2%
131,Bayfield,2018,Northern,19–26 years old,HPV Complete,32.6%
132,Bayfield,2018,Northern,50 years and older,Zoster (Shingles) Complete,1.3%
133,Bayfield,2019,Northern,19–26 years old,HPV Complete,36.0%
134,Bayfield,2019,Northern,19–49 years old,HepA Complete,8.5%
135,Bayfield,2019,Northern,50 years and older,Zoster (Shingles) Complete,6.0%
136,Bayfield,2020,Northern,19–26 years old,HPV Complete,38.0%
137,Bayfield,2020,Northern,19–49 years old,HepA Complete,10.0%
138,Bayfield,2020,Northern,50 years and older,Zoster (Shingles) Complete,11.9%
139,Bayfield,2021,Northern,19–26 years old,HPV Complete,41.0%
140,Bayfield,2021,Northern,19–49 years old,HepA Complete,11.5%
141,Bayfield,2021,Northern,50 years and older,Zoster (Shingles) Complete,17.5%
142,Bayfield,2022,Northern,19–26 years old,HPV Complete,43.6%
143,Bayfield,2022,Northern,19–49 years old,HepA Complete,12.1%
144,Bayfield,2022,Northern,19–59 years old,HepB (1),44.7%
145,Bayfield,2022,Northern,19–59 years old,HepB Complete,39.4%
146,Bayfield,2022,Northern,50 years and older,Zoster (Shingles) Complete,22.0%
147,Bayfield,2023,Northern,19–26 years old,HPV Complete,47.1%
148,Bayfield,2023,Northern,19–49 years old,HepA Complete,16.1%
149,Bayfield,2023,Northern,19–59 years old,HepB (1),52.5%
150,Bayfield,2023,Northern,19–59 years old,HepB Complete,46.7%
151,Bayfield,2023,Northern,19–64 years old,Td or Tdap,56.9%
152,Bayfield,2023,Northern,19–64 years old,Tdap,48.0%
153,Bayfield,2023,Northern,50 years and older,Zoster (Shingles) Complete,30.8%
154,Bayfield,2024,Northern,19–26 years old,HPV Complete,50.0%
155,Bayfield,2024,Northern,19–49 years old,HepA Complete,17.7%
156,Bayfield,2024,Northern,19–59 years old,HepB (1),55.0%
157,Bayfield,2024,Northern,19–59 years old,HepB Complete,49.1%
158,Bayfield,2024,Northern,19–64 years old,Td or Tdap,57.4%
159,Bayfield,2024,Northern,19–64 years old,Tdap,47.7%
160,Bayfield,2024,Northern,50 years and older,Zoster (Shingles) Complete,33.8%
161,Bayfield,2025,Northern,19–26 years old,HPV Complete,50.9%
162,Bayfield,2025,Northern,19–49 years old,HepA Complete,19.5%
163,Bayfield,2025,Northern,19–59 years old,HepB (1),57.2%
164,Bayfield,2025,Northern,19–59 years old,HepB Complete,51.0%
165,Bayfield,2025,Northern,19–64 years old,Td or Tdap,58.7%
166,Bayfield,2025,Northern,19–64 years old,Tdap,48.1%
167,Bayfield,2025,Northern,50 years and older,Pneumo Complete,46.9%
168,Bayfield,2025,Northern,50 years and older,Zoster (Shingles) Complete,38.1%
169,Brown,2014,Northeastern,19–26 years old,HPV Complete,19.6%
170,Brown,2015,Northeastern,19–26 years old,HPV Complete,21.6%
