Row, County ,Year,REGION,Age,Vaccine,Percent
171,Brown,2016,Northeastern,19–26 years old,HPV Complete,24.7%
172,Brown,2017,Northeastern,19–26 years old,HPV Complete,29.0%
173,Brown,2018,Northeastern,19–26 years old,HPV Complete,32.0%
174,Brown,2018,Northeastern,50 years and older,Zoster (Shingles) Complete,2.3%
175,Brown,2019,Northeastern,19–26 years old,HPV Complete,36.7%
176,Brown,2019,Northeastern,19–49 years old,HepA Complete,13.7%
177,Brown,2019,Northeastern,50 years and older,Zoster (Shingles) Complete,8.4%
178,Brown,2020,Northeastern,19–26 years old,HPV Complete,39.4%
179,Brown,2020,Northeastern,19–49 years old,HepA Complete,15.9%
180,Brown,2020,Northeastern,50 years and older,Zoster (Shingles) Complete,17.5%
181,Brown,2021,Northeastern,19–26 years old,HPV Complete,42.3%
182,Brown,2021,Northeastern,19–49 years old,HepA Complete,17.7%
183,Brown,2021,Northeastern,50 years and older,Zoster (Shingles) Complete,24.7%
184,Brown,2022,Northeastern,19–26 years old,HPV Complete,45.3%
185,Brown,2022,Northeastern,19–49 years old,HepA Complete,18.2%
186,Brown,2022,Northeastern,19–59 years old,HepB (1),47.0%
187,Brown,2022,Northeastern,19–59 years old,HepB Complete,41.5%
188,Brown,2022,Northeastern,50 years and older,Zoster (Shingles) Complete,30.0%
189,Brown,2023,Northeastern,19–26 years old,HPV Complete,53.1%
190,Brown,2023,Northeastern,19–49 years old,HepA Complete,21.9%
191,Brown,2023,Northeastern,19–59 years old,HepB (1),51.1%
192,Brown,2023,Northeastern,19–59 years old,HepB Complete,45.5%
193,Brown,2023,Northeastern,19–64 years old,Td or Tdap,64.2%
194,Brown,2023,Northeastern,19–64 years old,Tdap,57.2%
195,Brown,2023,Northeastern,50 years and older,Zoster (Shingles) Complete,36.2%
196,Brown,2024,Northeastern,19–26 years old,HPV Complete,56.3%
197,Brown,2024,Northeastern,19–49 years old,HepA Complete,24.3%
198,Brown,2024,Northeastern,19–59 years old,HepB (1),54.5%
199,Brown,2024,Northeastern,19–59 years old,HepB Complete,48.1%
200,Brown,2024,Northeastern,19–64 years old,Td or Tdap,64.7%
201,Brown,2024,Northeastern,19–64 years old,Tdap,57.1%
202,Brown,2024,Northeastern,50 years and older,Zoster (Shingles) Complete,39.4%
203,Brown,2025,Northeastern,19–26 years old,HPV Complete,59.6%
204,Brown,2025,Northeastern,19–49 years old,HepA Complete,27.1%
205,Brown,2025,Northeastern,19–59 years old,HepB (1),57.7%
206,Brown,2025,Northeastern,19–59 years old,HepB Complete,51.4%
207,Brown,2025,Northeastern,19–64 years old,Td or Tdap,65.1%
208,Brown,2025,Northeastern,19–64 years old,Tdap,57.6%
209,Brown,2025,Northeastern,50 years and older,Pneumo Complete,48.6%
210,Brown,2025,Northeastern,50 years and older,Zoster (Shingles) Complete,42.2%
211,Buffalo,2014,Western,19–26 years old,HPV Complete,18.3%
212,Buffalo,2015,Western,19–26 years old,HPV Complete,19.2%
213,Buffalo,2016,Western,19–26 years old,HPV Complete,21.3%
214,Buffalo,2017,Western,19–26 years old,HPV Complete,26.1%
215,Buffalo,2018,Western,19–26 years old,HPV Complete,28.2%
216,Buffalo,2018,Western,50 years and older,Zoster (Shingles) Complete,2.7%
217,Buffalo,2019,Western,19–26 years old,HPV Complete,32.0%
218,Buffalo,2019,Western,19–49 years old,HepA Complete,5.3%
219,Buffalo,2019,Western,50 years and older,Zoster (Shingles) Complete,8.0%
220,Buffalo,2020,Western,19–26 years old,HPV Complete,33.7%
221,Buffalo,2020,Western,19–49 years old,HepA Complete,7.3%
222,Buffalo,2020,Western,50 years and older,Zoster (Shingles) Complete,13.1%
223,Buffalo,2021,Western,19–26 years old,HPV Complete,37.5%
224,Buffalo,2021,Western,19–49 years old,HepA Complete,8.5%
225,Buffalo,2021,Western,50 years and older,Zoster (Shingles) Complete,18.4%
226,Buffalo,2022,Western,19–26 years old,HPV Complete,41.7%
227,Buffalo,2022,Western,19–49 years old,HepA Complete,8.9%
228,Buffalo,2022,Western,19–59 years old,HepB (1),46.0%
229,Buffalo,2022,Western,19–59 years old,HepB Complete,39.8%
230,Buffalo,2022,Western,50 years and older,Zoster (Shingles) Complete,23.1%
231,Buffalo,2023,Western,19–26 years old,HPV Complete,53.4%
232,Buffalo,2023,Western,19–49 years old,HepA Complete,13.1%
233,Buffalo,2023,Western,19–59 years old,HepB (1),50.9%
234,Buffalo,2023,Western,19–59 years old,HepB Complete,45.1%
235,Buffalo,2023,Western,19–64 years old,Td or Tdap,65.3%
236,Buffalo,2023,Western,19–64 years old,Tdap,57.6%
237,Buffalo,2023,Western,50 years and older,Zoster (Shingles) Complete,29.5%
238,Buffalo,2024,Western,19–26 years old,HPV Complete,57.2%
239,Buffalo,2024,Western,19–49 years old,HepA Complete,15.3%
240,Buffalo,2024,Western,19–59 years old,HepB (1),53.5%
241,Buffalo,2024,Western,19–59 years old,HepB Complete,47.1%
242,Buffalo,2024,Western,19–64 years old,Td or Tdap,65.9%
243,Buffalo,2024,Western,19–64 years old,Tdap,57.9%
244,Buffalo,2024,Western,50 years and older,Zoster (Shingles) Complete,33.7%
245,Buffalo,2025,Western,19–26 years old,HPV Complete,58.7%
246,Buffalo,2025,Western,19–49 years old,HepA Complete,17.4%
247,Buffalo,2025,Western,19–59 years old,HepB (1),55.7%
248,Buffalo,2025,Western,19–59 years old,HepB Complete,49.3%
249,Buffalo,2025,Western,19–64 years old,Td or Tdap,64.2%
250,Buffalo,2025,Western,19–64 years old,Tdap,56.7%
251,Buffalo,2025,Western,50 years and older,Pneumo Complete,45.5%
252,Buffalo,2025,Western,50 years and older,Zoster (Shingles) Complete,37.1%
253,Burnett,2014,Western,19–26 years old,HPV Complete,15.9%
254,Burnett,2015,Western,19–26 years old,HPV Complete,16.8%
255,Burnett,2016,Western,19–26 years old,HPV Complete,18.2%
256,Burnett,2017,Western,19–26 years old,HPV Complete,21.2%
257,Burnett,2018,Western,19–26 years old,HPV Complete,23.8%
258,Burnett,2018,Western,50 years and older,Zoster (Shingles) Complete,1.3%
259,Burnett,2019,Western,19–26 years old,HPV Complete,25.9%
260,Burnett,2019,Western,19–49 years old,HepA Complete,7.1%
261,Burnett,2019,Western,50 years and older,Zoster (Shingles) Complete,6.2%
262,Burnett,2020,Western,19–26 years old,HPV Complete,27.3%
263,Burnett,2020,Western,19–49 years old,HepA Complete,8.4%
264,Burnett,2020,Western,50 years and older,Zoster (Shingles) Complete,11.7%
265,Burnett,2021,Western,19–26 years old,HPV Complete,28.9%
266,Burnett,2021,Western,19–49 years old,HepA Complete,9.4%
267,Burnett,2021,Western,50 years and older,Zoster (Shingles) Complete,16.5%
268,Burnett,2022,Western,19–26 years old,HPV Complete,29.9%
269,Burnett,2022,Western,19–49 years old,HepA Complete,9.7%
270,Burnett,2022,Western,19–59 years old,HepB (1),48.7%
271,Burnett,2022,Western,19–59 years old,HepB Complete,43.2%
272,Burnett,2022,Western,50 years and older,Zoster (Shingles) Complete,20.1%
273,Burnett,2023,Western,19–26 years old,HPV Complete,36.6%
274,Burnett,2023,Western,19–49 years old,HepA Complete,14.2%
275,Burnett,2023,Western,19–59 years old,HepB (1),52.2%
276,Burnett,2023,Western,19–59 years old,HepB Complete,46.9%
277,Burnett,2023,Western,19–64 years old,Td or Tdap,56.3%
278,Burnett,2023,Western,19–64 years old,Tdap,49.8%
279,Burnett,2023,Western,50 years and older,Zoster (Shingles) Complete,27.1%
280,Burnett,2024,Western,19–26 years old,HPV Complete,39.7%
281,Burnett,2024,Western,19–49 years old,HepA Complete,16.2%
282,Burnett,2024,Western,19–59 years old,HepB (1),53.7%
283,Burnett,2024,Western,19–59 years old,HepB Complete,48.2%
284,Burnett,2024,Western,19–64 years old,Td or Tdap,56.7%
285,Burnett,2024,Western,19–64 years old,Tdap,50.0%
286,Burnett,2024,Western,50 years and older,Zoster (Shingles) Complete,30.3%
287,Burnett,2025,Western,19–26 years old,HPV Complete,41.5%
288,Burnett,2025,Western,19–49 years old,HepA Complete,18.4%
289,Burnett,2025,Western,19–59 years old,HepB (1),55.2%
290,Burnett,2025,Western,19–59 years old,HepB Complete,49.7%
291,Burnett,2025,Western,19–64 years old,Td or Tdap,56.6%
292,Burnett,2025,Western,19–64 years old,Tdap,49.5%
293,Burnett,2025,Western,50 years and older,Pneumo Complete,44.1%
294,Burnett,2025,Western,50 years and older,Zoster (Shingles) Complete,34.2%
295,Calumet,2014,Northeastern,19–26 years old,HPV Complete,23.4%
296,Calumet,2015,Northeastern,19–26 years old,HPV Complete,26.5%
297,Calumet,2016,Northeastern,19–26 years old,HPV Complete,29.8%
298,Calumet,2017,Northeastern,19–26 years old,HPV Complete,33.9%
299,Calumet,2018,Northeastern,19–26 years old,HPV Complete,36.8%
300,Calumet,2018,Northeastern,50 years and older,Zoster (Shingles) Complete,1.9%
301,Calumet,2019,Northeastern,19–26 years old,HPV Complete,41.8%
302,Calumet,2019,Northeastern,19–49 years old,HepA Complete,14.5%
303,Calumet,2019,Northeastern,50 years and older,Zoster (Shingles) Complete,9.1%
304,Calumet,2020,Northeastern,19–26 years old,HPV Complete,44.4%
305,Calumet,2020,Northeastern,19–49 years old,HepA Complete,16.0%
306,Calumet,2020,Northeastern,50 years and older,Zoster (Shingles) Complete,18.6%
307,Calumet,2021,Northeastern,19–26 years old,HPV Complete,47.0%
308,Calumet,2021,Northeastern,19–49 years old,HepA Complete,17.5%
309,Calumet,2021,Northeastern,50 years and older,Zoster (Shingles) Complete,25.4%
310,Calumet,2022,Northeastern,19–26 years old,HPV Complete,49.4%
311,Calumet,2022,Northeastern,19–49 years old,HepA Complete,17.9%
312,Calumet,2022,Northeastern,19–59 years old,HepB (1),50.3%
313,Calumet,2022,Northeastern,19–59 years old,HepB Complete,45.6%
314,Calumet,2022,Northeastern,50 years and older,Zoster (Shingles) Complete,30.0%
315,Calumet,2023,Northeastern,19–26 years old,HPV Complete,56.3%
316,Calumet,2023,Northeastern,19–49 years old,HepA Complete,23.0%
317,Calumet,2023,Northeastern,19–59 years old,HepB (1),54.1%
318,Calumet,2023,Northeastern,19–59 years old,HepB Complete,49.5%
319,Calumet,2023,Northeastern,19–64 years old,Td or Tdap,67.2%
320,Calumet,2023,Northeastern,19–64 years old,Tdap,59.5%
321,Calumet,2023,Northeastern,50 years and older,Zoster (Shingles) Complete,35.2%
322,Calumet,2024,Northeastern,19–26 years old,HPV Complete,58.0%
323,Calumet,2024,Northeastern,19–49 years old,HepA Complete,25.5%
324,Calumet,2024,Northeastern,19–59 years old,HepB (1),57.2%
325,Calumet,2024,Northeastern,19–59 years old,HepB Complete,52.1%
326,Calumet,2024,Northeastern,19–64 years old,Td or Tdap,67.5%
327,Calumet,2024,Northeastern,19–64 years old,Tdap,59.4%
328,Calumet,2024,Northeastern,50 years and older,Zoster (Shingles) Complete,38.9%
329,Calumet,2025,Northeastern,19–26 years old,HPV Complete,58.5%
330,Calumet,2025,Northeastern,19–49 years old,HepA Complete,28.0%
331,Calumet,2025,Northeastern,19–59 years old,HepB (1),60.4%
332,Calumet,2025,Northeastern,19–59 years old,HepB Complete,55.1%
333,Calumet,2025,Northeastern,19–64 years old,Td or Tdap,67.1%
334,Calumet,2025,Northeastern,19–64 years old,Tdap,59.1%
335,Calumet,2025,Northeastern,50 years and older,Pneumo Complete,46.9%
336,Calumet,2025,Northeastern,50 years and older,Zoster (Shingles) Complete,41.6%
337,Chippewa,2014,Western,19–26 years old,HPV Complete,20.2%
338,Chippewa,2015,Western,19–26 years old,HPV Complete,22.3%
339,Chippewa,2016,Western,19–26 years old,HPV Complete,25.7%
340,Chippewa,2017,Western,19–26 years old,HPV Complete,30.4%
341,Chippewa,2018,Western,19–26 years old,HPV Complete,34.5%
342,Chippewa,2018,Western,50 years and older,Zoster (Shingles) Complete,1.9%
343,Chippewa,2019,Western,19–26 years old,HPV Complete,38.3%
344,Chippewa,2019,Western,19–49 years old,HepA Complete,5.6%
345,Chippewa,2019,Western,50 years and older,Zoster (Shingles) Complete,5.6%
346,Chippewa,2020,Western,19–26 years old,HPV Complete,41.9%
347,Chippewa,2020,Western,19–49 years old,HepA Complete,6.5%
348,Chippewa,2020,Western,50 years and older,Zoster (Shingles) Complete,13.4%
349,Chippewa,2021,Western,19–26 years old,HPV Complete,46.0%
350,Chippewa,2021,Western,19–49 years old,HepA Complete,7.5%
351,Chippewa,2021,Western,50 years and older,Zoster (Shingles) Complete,20.7%
352,Chippewa,2022,Western,19–26 years old,HPV Complete,48.9%
353,Chippewa,2022,Western,19–49 years old,HepA Complete,7.6%
354,Chippewa,2022,Western,19–59 years old,HepB (1),51.9%
355,Chippewa,2022,Western,19–59 years old,HepB Complete,47.0%
356,Chippewa,2022,Western,50 years and older,Zoster (Shingles) Complete,25.5%
357,Chippewa,2023,Western,19–26 years old,HPV Complete,56.0%
358,Chippewa,2023,Western,19–49 years old,HepA Complete,11.1%
359,Chippewa,2023,Western,19–59 years old,HepB (1),55.6%
360,Chippewa,2023,Western,19–59 years old,HepB Complete,50.7%
361,Chippewa,2023,Western,19–64 years old,Td or Tdap,66.8%
362,Chippewa,2023,Western,19–64 years old,Tdap,55.9%
363,Chippewa,2023,Western,50 years and older,Zoster (Shingles) Complete,30.9%
364,Chippewa,2024,Western,19–26 years old,HPV Complete,58.6%
365,Chippewa,2024,Western,19–49 years old,HepA Complete,13.6%
366,Chippewa,2024,Western,19–59 years old,HepB (1),58.1%
367,Chippewa,2024,Western,19–59 years old,HepB Complete,53.1%
368,Chippewa,2024,Western,19–64 years old,Td or Tdap,66.6%
369,Chippewa,2024,Western,19–64 years old,Tdap,55.3%
370,Chippewa,2024,Western,50 years and older,Zoster (Shingles) Complete,34.0%
371,Chippewa,2025,Western,19–26 years old,HPV Complete,60.5%
372,Chippewa,2025,Western,19–49 years old,HepA Complete,16.5%
373,Chippewa,2025,Western,19–59 years old,HepB (1),60.3%
374,Chippewa,2025,Western,19–59 years old,HepB Complete,55.4%
375,Chippewa,2025,Western,19–64 years old,Td or Tdap,66.2%
376,Chippewa,2025,Western,19–64 years old,Tdap,55.2%
377,Chippewa,2025,Western,50 years and older,Pneumo Complete,46.6%
378,Chippewa,2025,Western,50 years and older,Zoster (Shingles) Complete,38.6%
379,Clark,2014,Western,19–26 years old,HPV Complete,17.0%
380,Clark,2015,Western,19–26 years old,HPV Complete,18.6%
381,Clark,2016,Western,19–26 years old,HPV Complete,20.4%
382,Clark,2017,Western,19–26 years old,HPV Complete,23.1%
383,Clark,2018,Western,19–26 years old,HPV Complete,24.6%
384,Clark,2018,Western,50 years and older,Zoster (Shingles) Complete,0.9%
385,Clark,2019,Western,19–26 years old,HPV Complete,27.2%
386,Clark,2019,Western,19–49 years old,HepA Complete,3.5%
387,Clark,2019,Western,50 years and older,Zoster (Shingles) Complete,3.8%
388,Clark,2020,Western,19–26 years old,HPV Complete,28.1%
389,Clark,2020,Western,19–49 years old,HepA Complete,4.1%
390,Clark,2020,Western,50 years and older,Zoster (Shingles) Complete,10.1%
391,Clark,2021,Western,19–26 years old,HPV Complete,30.0%
392,Clark,2021,Western,19–49 years old,HepA Complete,4.7%
393,Clark,2021,Western,50 years and older,Zoster (Shingles) Complete,17.0%
394,Clark,2022,Western,19–26 years old,HPV Complete,31.3%
395,Clark,2022,Western,19–49 years old,HepA Complete,4.8%
396,Clark,2022,Western,19–59 years old,HepB (1),45.9%
397,Clark,2022,Western,19–59 years old,HepB Complete,41.8%
398,Clark,2022,Western,50 years and older,Zoster (Shingles) Complete,21.3%
399,Clark,2023,Western,19–26 years old,HPV Complete,37.5%
400,Clark,2023,Western,19–49 years old,HepA Complete,7.9%
401,Clark,2023,Western,19–59 years old,HepB (1),50.5%
402,Clark,2023,Western,19–59 years old,HepB Complete,46.5%
403,Clark,2023,Western,19–64 years old,Td or Tdap,63.3%
404,Clark,2023,Western,19–64 years old,Tdap,50.1%
405,Clark,2023,Western,50 years and older,Zoster (Shingles) Complete,26.3%
406,Clark,2024,Western,19–26 years old,HPV Complete,38.4%
407,Clark,2024,Western,19–49 years old,HepA Complete,10.1%
408,Clark,2024,Western,19–59 years old,HepB (1),51.8%
409,Clark,2024,Western,19–59 years old,HepB Complete,47.6%
410,Clark,2024,Western,19–64 years old,Td or Tdap,62.4%
411,Clark,2024,Western,19–64 years old,Tdap,48.9%
412,Clark,2024,Western,50 years and older,Zoster (Shingles) Complete,29.8%
