"geography_description","geography_level","week_ending","respiratory_season","covid_19_dose_count","influenza_dose_count"
"Western New York","REGION","2024-10-08T00:00:00.000","2024-2025","16059","37580"
"ROS","REST OF STATE","2024-10-08T00:00:00.000","2024-2025","113279","277368"
"Albany","COUNTY","2024-10-15T00:00:00.000","2024-2025","3698","7156"
"Allegany","COUNTY","2024-10-15T00:00:00.000","2024-2025","270","874"
"Bronx","COUNTY","2024-10-15T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-10-15T00:00:00.000","2024-2025","1916","5229"
"Cattaraugus","COUNTY","2024-10-15T00:00:00.000","2024-2025","585","1646"
"Cayuga","COUNTY","2024-10-15T00:00:00.000","2024-2025","653","1769"
"Chautauqua","COUNTY","2024-10-15T00:00:00.000","2024-2025","1167","2879"
"Chemung","COUNTY","2024-10-15T00:00:00.000","2024-2025","818","1982"
"Chenango","COUNTY","2024-10-15T00:00:00.000","2024-2025","396","1258"
"Clinton","COUNTY","2024-10-15T00:00:00.000","2024-2025","852","3453"
"Columbia","COUNTY","2024-10-15T00:00:00.000","2024-2025","719","1654"
"Cortland","COUNTY","2024-10-15T00:00:00.000","2024-2025","494","1057"
"Delaware","COUNTY","2024-10-15T00:00:00.000","2024-2025","364","854"
"Dutchess","COUNTY","2024-10-15T00:00:00.000","2024-2025","2847","6764"
"Erie","COUNTY","2024-10-15T00:00:00.000","2024-2025","10763","27028"
"Essex","COUNTY","2024-10-15T00:00:00.000","2024-2025","464","1124"
"Franklin","COUNTY","2024-10-15T00:00:00.000","2024-2025","417","950"
"Fulton","COUNTY","2024-10-15T00:00:00.000","2024-2025","372","1048"
"Genesee","COUNTY","2024-10-15T00:00:00.000","2024-2025","582","1558"
"Greene","COUNTY","2024-10-15T00:00:00.000","2024-2025","397","994"
"Hamilton","COUNTY","2024-10-15T00:00:00.000","2024-2025","50","127"
"Herkimer","COUNTY","2024-10-15T00:00:00.000","2024-2025","422","1463"
"Jefferson","COUNTY","2024-10-15T00:00:00.000","2024-2025","581","2284"
"Kings","COUNTY","2024-10-15T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-10-15T00:00:00.000","2024-2025","177","642"
"Livingston","COUNTY","2024-10-15T00:00:00.000","2024-2025","877","2171"
"Madison","COUNTY","2024-10-15T00:00:00.000","2024-2025","795","2012"
"Monroe","COUNTY","2024-10-15T00:00:00.000","2024-2025","10656","24382"
"Montgomery","COUNTY","2024-10-15T00:00:00.000","2024-2025","412","1180"
"Nassau","COUNTY","2024-10-15T00:00:00.000","2024-2025","9131","34376"
"New York","COUNTY","2024-10-15T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-10-15T00:00:00.000","2024-2025","1848","4876"
"Oneida","COUNTY","2024-10-15T00:00:00.000","2024-2025","2044","5894"
"Onondaga","COUNTY","2024-10-15T00:00:00.000","2024-2025","5967","12738"
"Ontario","COUNTY","2024-10-15T00:00:00.000","2024-2025","1569","3562"
"Orange","COUNTY","2024-10-15T00:00:00.000","2024-2025","2287","6524"
"Orleans","COUNTY","2024-10-15T00:00:00.000","2024-2025","303","793"
"Oswego","COUNTY","2024-10-15T00:00:00.000","2024-2025","950","2779"
"Otsego","COUNTY","2024-10-15T00:00:00.000","2024-2025","668","1680"
"Putnam","COUNTY","2024-10-15T00:00:00.000","2024-2025","796","2684"
"Queens","COUNTY","2024-10-15T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2024-10-15T00:00:00.000","2024-2025","1735","3368"
"Richmond","COUNTY","2024-10-15T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-10-15T00:00:00.000","2024-2025","1817","6786"
"Saratoga","COUNTY","2024-10-15T00:00:00.000","2024-2025","3034","6852"
"Schenectady","COUNTY","2024-10-15T00:00:00.000","2024-2025","1883","4184"
"Schoharie","COUNTY","2024-10-15T00:00:00.000","2024-2025","238","783"
"Schuyler","COUNTY","2024-10-15T00:00:00.000","2024-2025","174","396"
"Seneca","COUNTY","2024-10-15T00:00:00.000","2024-2025","290","696"
"St. Lawrence","COUNTY","2024-10-15T00:00:00.000","2024-2025","732","2173"
"Steuben","COUNTY","2024-10-15T00:00:00.000","2024-2025","904","2401"
"Suffolk","COUNTY","2024-10-15T00:00:00.000","2024-2025","9551","30419"
"Sullivan","COUNTY","2024-10-15T00:00:00.000","2024-2025","372","1338"
"Tioga","COUNTY","2024-10-15T00:00:00.000","2024-2025","523","1103"
"Tompkins","COUNTY","2024-10-15T00:00:00.000","2024-2025","1615","3600"
"Ulster","COUNTY","2024-10-15T00:00:00.000","2024-2025","2006","4144"
"Warren","COUNTY","2024-10-15T00:00:00.000","2024-2025","783","2109"
"Washington","COUNTY","2024-10-15T00:00:00.000","2024-2025","590","1640"
"Wayne","COUNTY","2024-10-15T00:00:00.000","2024-2025","1058","2661"
"Westchester","COUNTY","2024-10-15T00:00:00.000","2024-2025","10188","26736"
"Wyoming","COUNTY","2024-10-15T00:00:00.000","2024-2025","349","948"
"Yates","COUNTY","2024-10-15T00:00:00.000","2024-2025","251","663"
"Capital Region","REGION","2024-10-15T00:00:00.000","2024-2025","12839","27957"
"Central New York","REGION","2024-10-15T00:00:00.000","2024-2025","8859","20355"
"Finger Lakes","REGION","2024-10-15T00:00:00.000","2024-2025","15935","37434"
"Long Island","REGION","2024-10-15T00:00:00.000","2024-2025","18682","64795"
"Mid-Hudson","REGION","2024-10-15T00:00:00.000","2024-2025","20313","54976"
"Mohawk Valley","REGION","2024-10-15T00:00:00.000","2024-2025","4156","12048"
"New York City","REGION","2024-10-15T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-10-15T00:00:00.000","2024-2025","3273","10753"
"Southern Tier","REGION","2024-10-15T00:00:00.000","2024-2025","6710","16823"
"Western New York","REGION","2024-10-15T00:00:00.000","2024-2025","14633","37303"
"ROS","REST OF STATE","2024-10-15T00:00:00.000","2024-2025","105400","282444"
"Albany","COUNTY","2024-10-22T00:00:00.000","2024-2025","3085","5771"
"Allegany","COUNTY","2024-10-22T00:00:00.000","2024-2025","267","775"
"Bronx","COUNTY","2024-10-22T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-10-22T00:00:00.000","2024-2025","1573","4233"
"Cattaraugus","COUNTY","2024-10-22T00:00:00.000","2024-2025","539","1421"
"Cayuga","COUNTY","2024-10-22T00:00:00.000","2024-2025","634","1422"
"Chautauqua","COUNTY","2024-10-22T00:00:00.000","2024-2025","944","2708"
"Chemung","COUNTY","2024-10-22T00:00:00.000","2024-2025","504","1604"
"Chenango","COUNTY","2024-10-22T00:00:00.000","2024-2025","400","1204"
"Clinton","COUNTY","2024-10-22T00:00:00.000","2024-2025","884","2112"
"Columbia","COUNTY","2024-10-22T00:00:00.000","2024-2025","484","1277"
"Cortland","COUNTY","2024-10-22T00:00:00.000","2024-2025","470","968"
"Delaware","COUNTY","2024-10-22T00:00:00.000","2024-2025","365","914"
"Dutchess","COUNTY","2024-10-22T00:00:00.000","2024-2025","2237","5628"
"Erie","COUNTY","2024-10-22T00:00:00.000","2024-2025","8475","22501"
"Essex","COUNTY","2024-10-22T00:00:00.000","2024-2025","498","1179"
"Franklin","COUNTY","2024-10-22T00:00:00.000","2024-2025","490","1140"
"Fulton","COUNTY","2024-10-22T00:00:00.000","2024-2025","283","850"
"Genesee","COUNTY","2024-10-22T00:00:00.000","2024-2025","391","1257"
"Greene","COUNTY","2024-10-22T00:00:00.000","2024-2025","335","901"
"Hamilton","COUNTY","2024-10-22T00:00:00.000","2024-2025","39","152"
"Herkimer","COUNTY","2024-10-22T00:00:00.000","2024-2025","406","1558"
"Jefferson","COUNTY","2024-10-22T00:00:00.000","2024-2025","769","3017"
"Kings","COUNTY","2024-10-22T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-10-22T00:00:00.000","2024-2025","191","724"
"Livingston","COUNTY","2024-10-22T00:00:00.000","2024-2025","596","1771"
"Madison","COUNTY","2024-10-22T00:00:00.000","2024-2025","684","1784"
"Monroe","COUNTY","2024-10-22T00:00:00.000","2024-2025","8281","21119"
"Montgomery","COUNTY","2024-10-22T00:00:00.000","2024-2025","332","952"
"Nassau","COUNTY","2024-10-22T00:00:00.000","2024-2025","7328","29193"
"New York","COUNTY","2024-10-22T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-10-22T00:00:00.000","2024-2025","1589","4659"
"Oneida","COUNTY","2024-10-22T00:00:00.000","2024-2025","1704","5414"
"Onondaga","COUNTY","2024-10-22T00:00:00.000","2024-2025","5286","12080"
"Ontario","COUNTY","2024-10-22T00:00:00.000","2024-2025","1271","3146"
"Orange","COUNTY","2024-10-22T00:00:00.000","2024-2025","1892","5667"
"Orleans","COUNTY","2024-10-22T00:00:00.000","2024-2025","244","700"
"Oswego","COUNTY","2024-10-22T00:00:00.000","2024-2025","1071","2907"
"Otsego","COUNTY","2024-10-22T00:00:00.000","2024-2025","683","1614"
"Putnam","COUNTY","2024-10-22T00:00:00.000","2024-2025","669","2217"
"Queens","COUNTY","2024-10-22T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2024-10-22T00:00:00.000","2024-2025","1313","2817"
"Richmond","COUNTY","2024-10-22T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-10-22T00:00:00.000","2024-2025","1496","5354"
"Saratoga","COUNTY","2024-10-22T00:00:00.000","2024-2025","2431","5641"
"Schenectady","COUNTY","2024-10-22T00:00:00.000","2024-2025","1477","3354"
"Schoharie","COUNTY","2024-10-22T00:00:00.000","2024-2025","207","661"
"Schuyler","COUNTY","2024-10-22T00:00:00.000","2024-2025","151","351"
"Seneca","COUNTY","2024-10-22T00:00:00.000","2024-2025","235","617"
"St. Lawrence","COUNTY","2024-10-22T00:00:00.000","2024-2025","871","2401"
"Steuben","COUNTY","2024-10-22T00:00:00.000","2024-2025","692","2095"
"Suffolk","COUNTY","2024-10-22T00:00:00.000","2024-2025","7743","26769"
"Sullivan","COUNTY","2024-10-22T00:00:00.000","2024-2025","411","1081"
"Tioga","COUNTY","2024-10-22T00:00:00.000","2024-2025","327","849"
"Tompkins","COUNTY","2024-10-22T00:00:00.000","2024-2025","1496","2853"
"Ulster","COUNTY","2024-10-22T00:00:00.000","2024-2025","1714","3785"
"Warren","COUNTY","2024-10-22T00:00:00.000","2024-2025","643","1819"
"Washington","COUNTY","2024-10-22T00:00:00.000","2024-2025","488","1466"
"Wayne","COUNTY","2024-10-22T00:00:00.000","2024-2025","824","2377"
"Westchester","COUNTY","2024-10-22T00:00:00.000","2024-2025","7934","21970"
"Wyoming","COUNTY","2024-10-22T00:00:00.000","2024-2025","241","729"
"Yates","COUNTY","2024-10-22T00:00:00.000","2024-2025","213","480"
"Capital Region","REGION","2024-10-22T00:00:00.000","2024-2025","10256","23046"
"Central New York","REGION","2024-10-22T00:00:00.000","2024-2025","8145","19161"
"Finger Lakes","REGION","2024-10-22T00:00:00.000","2024-2025","12296","32196"
"Long Island","REGION","2024-10-22T00:00:00.000","2024-2025","15071","55962"
"Mid-Hudson","REGION","2024-10-22T00:00:00.000","2024-2025","16353","45702"
"Mohawk Valley","REGION","2024-10-22T00:00:00.000","2024-2025","3615","11049"
"New York City","REGION","2024-10-22T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-10-22T00:00:00.000","2024-2025","3742","10725"
"Southern Tier","REGION","2024-10-22T00:00:00.000","2024-2025","5508","14103"
"Western New York","REGION","2024-10-22T00:00:00.000","2024-2025","11814","32064"
"ROS","REST OF STATE","2024-10-22T00:00:00.000","2024-2025","86800","244008"
"Albany","COUNTY","2024-10-29T00:00:00.000","2024-2025","2708","4976"
"Allegany","COUNTY","2024-10-29T00:00:00.000","2024-2025","251","893"
"Bronx","COUNTY","2024-10-29T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-10-29T00:00:00.000","2024-2025","1429","4336"
"Cattaraugus","COUNTY","2024-10-29T00:00:00.000","2024-2025","448","1321"
"Cayuga","COUNTY","2024-10-29T00:00:00.000","2024-2025","472","1337"
"Chautauqua","COUNTY","2024-10-29T00:00:00.000","2024-2025","799","2407"
"Chemung","COUNTY","2024-10-29T00:00:00.000","2024-2025","607","1717"
"Chenango","COUNTY","2024-10-29T00:00:00.000","2024-2025","331","1077"
"Clinton","COUNTY","2024-10-29T00:00:00.000","2024-2025","948","1927"
"Columbia","COUNTY","2024-10-29T00:00:00.000","2024-2025","478","1202"
"Cortland","COUNTY","2024-10-29T00:00:00.000","2024-2025","382","881"
"Delaware","COUNTY","2024-10-29T00:00:00.000","2024-2025","308","783"
"Dutchess","COUNTY","2024-10-29T00:00:00.000","2024-2025","1874","5069"
"Erie","COUNTY","2024-10-29T00:00:00.000","2024-2025","8013","20783"
"Essex","COUNTY","2024-10-29T00:00:00.000","2024-2025","531","1187"
"Franklin","COUNTY","2024-10-29T00:00:00.000","2024-2025","401","923"
"Fulton","COUNTY","2024-10-29T00:00:00.000","2024-2025","369","935"
"Genesee","COUNTY","2024-10-29T00:00:00.000","2024-2025","393","1167"
"Greene","COUNTY","2024-10-29T00:00:00.000","2024-2025","303","826"
"Hamilton","COUNTY","2024-10-29T00:00:00.000","2024-2025","47","94"
"Herkimer","COUNTY","2024-10-29T00:00:00.000","2024-2025","404","1187"
"Jefferson","COUNTY","2024-10-29T00:00:00.000","2024-2025","734","2490"
"Kings","COUNTY","2024-10-29T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-10-29T00:00:00.000","2024-2025","144","612"
"Livingston","COUNTY","2024-10-29T00:00:00.000","2024-2025","531","1463"
"Madison","COUNTY","2024-10-29T00:00:00.000","2024-2025","686","1698"
"Monroe","COUNTY","2024-10-29T00:00:00.000","2024-2025","7960","19524"
"Montgomery","COUNTY","2024-10-29T00:00:00.000","2024-2025","364","1125"
"Nassau","COUNTY","2024-10-29T00:00:00.000","2024-2025","6783","27164"
"New York","COUNTY","2024-10-29T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-10-29T00:00:00.000","2024-2025","1483","4021"
"Oneida","COUNTY","2024-10-29T00:00:00.000","2024-2025","1571","4724"
"Onondaga","COUNTY","2024-10-29T00:00:00.000","2024-2025","4617","10478"
"Ontario","COUNTY","2024-10-29T00:00:00.000","2024-2025","1171","3100"
"Orange","COUNTY","2024-10-29T00:00:00.000","2024-2025","1702","5506"
"Orleans","COUNTY","2024-10-29T00:00:00.000","2024-2025","201","599"
"Oswego","COUNTY","2024-10-29T00:00:00.000","2024-2025","993","2558"
"Otsego","COUNTY","2024-10-29T00:00:00.000","2024-2025","594","1459"
"Putnam","COUNTY","2024-10-29T00:00:00.000","2024-2025","685","2179"
"Queens","COUNTY","2024-10-29T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2024-10-29T00:00:00.000","2024-2025","1235","2596"
"Richmond","COUNTY","2024-10-29T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-10-29T00:00:00.000","2024-2025","1246","5155"
"Saratoga","COUNTY","2024-10-29T00:00:00.000","2024-2025","2242","5453"
"Schenectady","COUNTY","2024-10-29T00:00:00.000","2024-2025","1386","2886"
"Schoharie","COUNTY","2024-10-29T00:00:00.000","2024-2025","220","540"
"Schuyler","COUNTY","2024-10-29T00:00:00.000","2024-2025","130","326"
"Seneca","COUNTY","2024-10-29T00:00:00.000","2024-2025","251","681"
"St. Lawrence","COUNTY","2024-10-29T00:00:00.000","2024-2025","755","2240"
"Steuben","COUNTY","2024-10-29T00:00:00.000","2024-2025","628","1800"
"Suffolk","COUNTY","2024-10-29T00:00:00.000","2024-2025","7080","24384"
"Sullivan","COUNTY","2024-10-29T00:00:00.000","2024-2025","372","1132"
"Tioga","COUNTY","2024-10-29T00:00:00.000","2024-2025","319","812"
"Tompkins","COUNTY","2024-10-29T00:00:00.000","2024-2025","1249","2359"
"Ulster","COUNTY","2024-10-29T00:00:00.000","2024-2025","1533","3493"
"Warren","COUNTY","2024-10-29T00:00:00.000","2024-2025","686","1689"
"Washington","COUNTY","2024-10-29T00:00:00.000","2024-2025","446","1328"
"Wayne","COUNTY","2024-10-29T00:00:00.000","2024-2025","764","2061"
"Westchester","COUNTY","2024-10-29T00:00:00.000","2024-2025","7290","20868"
"Wyoming","COUNTY","2024-10-29T00:00:00.000","2024-2025","253","799"
"Yates","COUNTY","2024-10-29T00:00:00.000","2024-2025","195","594"
"Capital Region","REGION","2024-10-29T00:00:00.000","2024-2025","9484","20956"
"Central New York","REGION","2024-10-29T00:00:00.000","2024-2025","7150","16952"
"Finger Lakes","REGION","2024-10-29T00:00:00.000","2024-2025","11719","29988"
"Long Island","REGION","2024-10-29T00:00:00.000","2024-2025","13863","51548"
"Mid-Hudson","REGION","2024-10-29T00:00:00.000","2024-2025","14702","43402"
"Mohawk Valley","REGION","2024-10-29T00:00:00.000","2024-2025","3522","9970"
"New York City","REGION","2024-10-29T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-10-29T00:00:00.000","2024-2025","3560","9473"
"Southern Tier","REGION","2024-10-29T00:00:00.000","2024-2025","5001","13210"
"Western New York","REGION","2024-10-29T00:00:00.000","2024-2025","10994","29425"
"ROS","REST OF STATE","2024-10-29T00:00:00.000","2024-2025","79995","224924"
"Albany","COUNTY","2024-11-05T00:00:00.000","2024-2025","2347","4550"
"Allegany","COUNTY","2024-11-05T00:00:00.000","2024-2025","196","693"
"Bronx","COUNTY","2024-11-05T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-11-05T00:00:00.000","2024-2025","1131","3828"
"Cattaraugus","COUNTY","2024-11-05T00:00:00.000","2024-2025","356","1055"
"Cayuga","COUNTY","2024-11-05T00:00:00.000","2024-2025","362","1006"
"Chautauqua","COUNTY","2024-11-05T00:00:00.000","2024-2025","731","1934"
"Chemung","COUNTY","2024-11-05T00:00:00.000","2024-2025","388","1306"
"Chenango","COUNTY","2024-11-05T00:00:00.000","2024-2025","336","889"
"Clinton","COUNTY","2024-11-05T00:00:00.000","2024-2025","574","1512"
"Columbia","COUNTY","2024-11-05T00:00:00.000","2024-2025","351","880"
"Cortland","COUNTY","2024-11-05T00:00:00.000","2024-2025","283","751"
"Delaware","COUNTY","2024-11-05T00:00:00.000","2024-2025","294","700"
"Dutchess","COUNTY","2024-11-05T00:00:00.000","2024-2025","1754","4506"
"Erie","COUNTY","2024-11-05T00:00:00.000","2024-2025","6290","17574"
"Essex","COUNTY","2024-11-05T00:00:00.000","2024-2025","363","816"
"Franklin","COUNTY","2024-11-05T00:00:00.000","2024-2025","340","782"
"Fulton","COUNTY","2024-11-05T00:00:00.000","2024-2025","243","803"
"Genesee","COUNTY","2024-11-05T00:00:00.000","2024-2025","323","941"
"Greene","COUNTY","2024-11-05T00:00:00.000","2024-2025","260","748"
"Hamilton","COUNTY","2024-11-05T00:00:00.000","2024-2025","35","76"
"Herkimer","COUNTY","2024-11-05T00:00:00.000","2024-2025","317","961"
"Jefferson","COUNTY","2024-11-05T00:00:00.000","2024-2025","451","2156"
"Kings","COUNTY","2024-11-05T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-11-05T00:00:00.000","2024-2025","80","417"
"Livingston","COUNTY","2024-11-05T00:00:00.000","2024-2025","389","1169"
"Madison","COUNTY","2024-11-05T00:00:00.000","2024-2025","537","1397"
"Monroe","COUNTY","2024-11-05T00:00:00.000","2024-2025","6225","14671"
"Montgomery","COUNTY","2024-11-05T00:00:00.000","2024-2025","228","884"
"Nassau","COUNTY","2024-11-05T00:00:00.000","2024-2025","5679","23926"
"New York","COUNTY","2024-11-05T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-11-05T00:00:00.000","2024-2025","1118","3330"
"Oneida","COUNTY","2024-11-05T00:00:00.000","2024-2025","1332","3898"
"Onondaga","COUNTY","2024-11-05T00:00:00.000","2024-2025","3525","8127"
"Ontario","COUNTY","2024-11-05T00:00:00.000","2024-2025","919","2288"
"Orange","COUNTY","2024-11-05T00:00:00.000","2024-2025","1304","4769"
"Orleans","COUNTY","2024-11-05T00:00:00.000","2024-2025","139","454"
"Oswego","COUNTY","2024-11-05T00:00:00.000","2024-2025","601","1819"
"Otsego","COUNTY","2024-11-05T00:00:00.000","2024-2025","490","1314"
"Putnam","COUNTY","2024-11-05T00:00:00.000","2024-2025","433","1766"
"Queens","COUNTY","2024-11-05T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2024-11-05T00:00:00.000","2024-2025","1002","2212"
"Richmond","COUNTY","2024-11-05T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-11-05T00:00:00.000","2024-2025","1143","4891"
"Saratoga","COUNTY","2024-11-05T00:00:00.000","2024-2025","1781","8082"
"Schenectady","COUNTY","2024-11-05T00:00:00.000","2024-2025","1130","2757"
"Schoharie","COUNTY","2024-11-05T00:00:00.000","2024-2025","162","470"
"Schuyler","COUNTY","2024-11-05T00:00:00.000","2024-2025","98","253"
"Seneca","COUNTY","2024-11-05T00:00:00.000","2024-2025","213","553"
"St. Lawrence","COUNTY","2024-11-05T00:00:00.000","2024-2025","607","1899"
"Steuben","COUNTY","2024-11-05T00:00:00.000","2024-2025","569","1541"
"Suffolk","COUNTY","2024-11-05T00:00:00.000","2024-2025","5681","20532"
"Sullivan","COUNTY","2024-11-05T00:00:00.000","2024-2025","223","934"
"Tioga","COUNTY","2024-11-05T00:00:00.000","2024-2025","247","756"
"Tompkins","COUNTY","2024-11-05T00:00:00.000","2024-2025","1066","2112"
"Ulster","COUNTY","2024-11-05T00:00:00.000","2024-2025","1385","3219"
"Warren","COUNTY","2024-11-05T00:00:00.000","2024-2025","529","1936"
"Washington","COUNTY","2024-11-05T00:00:00.000","2024-2025","333","1563"
"Wayne","COUNTY","2024-11-05T00:00:00.000","2024-2025","650","1691"
"Westchester","COUNTY","2024-11-05T00:00:00.000","2024-2025","6206","19011"
"Wyoming","COUNTY","2024-11-05T00:00:00.000","2024-2025","219","637"
"Yates","COUNTY","2024-11-05T00:00:00.000","2024-2025","143","388"
"Capital Region","REGION","2024-11-05T00:00:00.000","2024-2025","7733","22728"
"Central New York","REGION","2024-11-05T00:00:00.000","2024-2025","5308","13100"
"Finger Lakes","REGION","2024-11-05T00:00:00.000","2024-2025","9220","22792"
"Long Island","REGION","2024-11-05T00:00:00.000","2024-2025","11360","44458"
"Mid-Hudson","REGION","2024-11-05T00:00:00.000","2024-2025","12448","39096"
"Mohawk Valley","REGION","2024-11-05T00:00:00.000","2024-2025","2772","8330"
"New York City","REGION","2024-11-05T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-11-05T00:00:00.000","2024-2025","2450","7658"
"Southern Tier","REGION","2024-11-05T00:00:00.000","2024-2025","4129","11385"
"Western New York","REGION","2024-11-05T00:00:00.000","2024-2025","8691","24586"
"ROS","REST OF STATE","2024-11-05T00:00:00.000","2024-2025","64111","194133"
"Albany","COUNTY","2024-11-12T00:00:00.000","2024-2025","1978","3602"
"Allegany","COUNTY","2024-11-12T00:00:00.000","2024-2025","187","574"
"Bronx","COUNTY","2024-11-12T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-11-12T00:00:00.000","2024-2025","1019","2744"
"Cattaraugus","COUNTY","2024-11-12T00:00:00.000","2024-2025","293","886"
"Cayuga","COUNTY","2024-11-12T00:00:00.000","2024-2025","341","971"
"Chautauqua","COUNTY","2024-11-12T00:00:00.000","2024-2025","570","1649"
"Chemung","COUNTY","2024-11-12T00:00:00.000","2024-2025","397","1273"
"Chenango","COUNTY","2024-11-12T00:00:00.000","2024-2025","243","629"
"Clinton","COUNTY","2024-11-12T00:00:00.000","2024-2025","461","1177"
"Columbia","COUNTY","2024-11-12T00:00:00.000","2024-2025","284","607"
"Cortland","COUNTY","2024-11-12T00:00:00.000","2024-2025","280","620"
"Delaware","COUNTY","2024-11-12T00:00:00.000","2024-2025","221","564"
"Dutchess","COUNTY","2024-11-12T00:00:00.000","2024-2025","1550","3950"
"Erie","COUNTY","2024-11-12T00:00:00.000","2024-2025","5223","14238"
"Essex","COUNTY","2024-11-12T00:00:00.000","2024-2025","269","649"
"Franklin","COUNTY","2024-11-12T00:00:00.000","2024-2025","296","611"
"Fulton","COUNTY","2024-11-12T00:00:00.000","2024-2025","222","571"
"Genesee","COUNTY","2024-11-12T00:00:00.000","2024-2025","261","907"
"Greene","COUNTY","2024-11-12T00:00:00.000","2024-2025","215","509"
"Hamilton","COUNTY","2024-11-12T00:00:00.000","2024-2025","31","97"
"Herkimer","COUNTY","2024-11-12T00:00:00.000","2024-2025","270","846"
"Jefferson","COUNTY","2024-11-12T00:00:00.000","2024-2025","440","1910"
"Kings","COUNTY","2024-11-12T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-11-12T00:00:00.000","2024-2025","88","428"
"Livingston","COUNTY","2024-11-12T00:00:00.000","2024-2025","385","1107"
"Madison","COUNTY","2024-11-12T00:00:00.000","2024-2025","498","1141"
"Monroe","COUNTY","2024-11-12T00:00:00.000","2024-2025","5528","13375"
"Montgomery","COUNTY","2024-11-12T00:00:00.000","2024-2025","210","681"
"Nassau","COUNTY","2024-11-12T00:00:00.000","2024-2025","4786","20033"
"New York","COUNTY","2024-11-12T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-11-12T00:00:00.000","2024-2025","844","2839"
"Oneida","COUNTY","2024-11-12T00:00:00.000","2024-2025","1139","3497"
"Onondaga","COUNTY","2024-11-12T00:00:00.000","2024-2025","3628","7381"
"Ontario","COUNTY","2024-11-12T00:00:00.000","2024-2025","838","2044"
"Orange","COUNTY","2024-11-12T00:00:00.000","2024-2025","1223","4207"
"Orleans","COUNTY","2024-11-12T00:00:00.000","2024-2025","154","440"
"Oswego","COUNTY","2024-11-12T00:00:00.000","2024-2025","629","1612"
"Otsego","COUNTY","2024-11-12T00:00:00.000","2024-2025","397","1146"
"Putnam","COUNTY","2024-11-12T00:00:00.000","2024-2025","518","1534"
"Queens","COUNTY","2024-11-12T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2024-11-12T00:00:00.000","2024-2025","846","1872"
"Richmond","COUNTY","2024-11-12T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-11-12T00:00:00.000","2024-2025","996","4168"
"Saratoga","COUNTY","2024-11-12T00:00:00.000","2024-2025","1566","3302"
"Schenectady","COUNTY","2024-11-12T00:00:00.000","2024-2025","940","2116"
"Schoharie","COUNTY","2024-11-12T00:00:00.000","2024-2025","190","430"
"Schuyler","COUNTY","2024-11-12T00:00:00.000","2024-2025","97","223"
"Seneca","COUNTY","2024-11-12T00:00:00.000","2024-2025","196","443"
"St. Lawrence","COUNTY","2024-11-12T00:00:00.000","2024-2025","479","1465"
"Steuben","COUNTY","2024-11-12T00:00:00.000","2024-2025","438","1210"
"Suffolk","COUNTY","2024-11-12T00:00:00.000","2024-2025","5020","17834"
"Sullivan","COUNTY","2024-11-12T00:00:00.000","2024-2025","280","823"
"Tioga","COUNTY","2024-11-12T00:00:00.000","2024-2025","253","544"
"Tompkins","COUNTY","2024-11-12T00:00:00.000","2024-2025","955","1889"
"Ulster","COUNTY","2024-11-12T00:00:00.000","2024-2025","1180","2668"
"Warren","COUNTY","2024-11-12T00:00:00.000","2024-2025","409","1164"
"Washington","COUNTY","2024-11-12T00:00:00.000","2024-2025","310","807"
"Wayne","COUNTY","2024-11-12T00:00:00.000","2024-2025","535","1458"
"Westchester","COUNTY","2024-11-12T00:00:00.000","2024-2025","5286","15060"
"Wyoming","COUNTY","2024-11-12T00:00:00.000","2024-2025","160","456"
"Yates","COUNTY","2024-11-12T00:00:00.000","2024-2025","143","282"
