"geography_description","geography_level","week_ending","respiratory_season","covid_19_dose_count","influenza_dose_count"
"Mohawk Valley","REGION","2024-08-06T00:00:00.000","2024-2025","0","86"
"New York City","REGION","2024-08-06T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-08-06T00:00:00.000","2024-2025","0","62"
"Southern Tier","REGION","2024-08-06T00:00:00.000","2024-2025","0","85"
"Western New York","REGION","2024-08-06T00:00:00.000","2024-2025","0","276"
"ROS","REST OF STATE","2024-08-06T00:00:00.000","2024-2025","0","1750"
"Albany","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","113"
"Allegany","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","5"
"Bronx","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","110"
"Cattaraugus","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","24"
"Cayuga","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","30"
"Chautauqua","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","83"
"Chemung","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","45"
"Chenango","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","8"
"Clinton","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","34"
"Columbia","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","6"
"Cortland","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","26"
"Delaware","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","14"
"Dutchess","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","93"
"Erie","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","842"
"Essex","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","7"
"Franklin","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","17"
"Fulton","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","23"
"Genesee","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","30"
"Greene","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","6"
"Hamilton","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","1"
"Herkimer","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","27"
"Jefferson","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","26"
"Kings","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","0"
"Lewis","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","11"
"Livingston","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","14"
"Madison","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","27"
"Monroe","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","450"
"Montgomery","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","21"
"Nassau","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","614"
"New York","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","0"
"Niagara","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","111"
"Oneida","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","81"
"Onondaga","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","344"
"Ontario","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","88"
"Orange","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","93"
"Orleans","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","11"
"Oswego","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","30"
"Otsego","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","16"
"Putnam","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","43"
"Queens","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","0"
"Rensselaer","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","33"
"Richmond","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","0"
"Rockland","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","105"
"Saratoga","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","108"
"Schenectady","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","31"
"Schoharie","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","4"
"Schuyler","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","10"
"Seneca","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","17"
"St. Lawrence","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","26"
"Steuben","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","22"
"Suffolk","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","715"
"Sullivan","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","13"
"Tioga","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","31"
"Tompkins","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","64"
"Ulster","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","35"
"Warren","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","19"
"Washington","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","8"
"Wayne","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","57"
"Westchester","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","427"
"Wyoming","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","20"
"Yates","COUNTY","2024-08-13T00:00:00.000","2024-2025","0","3"
"Capital Region","REGION","2024-08-13T00:00:00.000","2024-2025","0","324"
"Central New York","REGION","2024-08-13T00:00:00.000","2024-2025","0","457"
"Finger Lakes","REGION","2024-08-13T00:00:00.000","2024-2025","0","690"
"Long Island","REGION","2024-08-13T00:00:00.000","2024-2025","0","1329"
"Mid-Hudson","REGION","2024-08-13T00:00:00.000","2024-2025","0","809"
"Mohawk Valley","REGION","2024-08-13T00:00:00.000","2024-2025","0","172"
"New York City","REGION","2024-08-13T00:00:00.000","2024-2025","0","0"
"North Country","REGION","2024-08-13T00:00:00.000","2024-2025","0","122"
"Southern Tier","REGION","2024-08-13T00:00:00.000","2024-2025","0","304"
"Western New York","REGION","2024-08-13T00:00:00.000","2024-2025","0","1065"
"ROS","REST OF STATE","2024-08-13T00:00:00.000","2024-2025","0","5272"
"Albany","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","216"
"Allegany","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","19"
"Bronx","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","0"
"Broome","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","163"
"Cattaraugus","COUNTY","2024-08-20T00:00:00.000","2024-2025","0","81"
